story,question,answer,i,dataGenSeq,sType,qTypeRaw,qTypeTomOrNot,qOrder,storyHasToM,answerMem,answerReal,qToMandOmniReader,answerMemOrReal
William likes the grapes. William entered the back yard. Avery entered the back yard. The slacks is in the bucket. William exited the back yard. Avery moved the slacks to the crate. Jacob likes the hat. Jacob entered the cellar. Avery exited the back yard. William entered the back yard.,Where was the slacks at the beginning?,bucket,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_0_moves_obj,agent_0_exits,agent_2_enters,agent_1_reenters_loc",second_order_false_belief,memory,False,memory,True,bucket,crate,False,memory
William likes the grapes. William entered the back yard. Avery entered the back yard. The slacks is in the bucket. William exited the back yard. Avery moved the slacks to the crate. Jacob likes the hat. Jacob entered the cellar. Avery exited the back yard. William entered the back yard.,Where will Avery look for the slacks?,crate,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_0_moves_obj,agent_0_exits,agent_2_enters,agent_1_reenters_loc",second_order_false_belief,first_order_1_no_tom,False,first_order,True,bucket,crate,True,reality
William likes the grapes. William entered the back yard. Avery entered the back yard. The slacks is in the bucket. William exited the back yard. Avery moved the slacks to the crate. Jacob likes the hat. Jacob entered the cellar. Avery exited the back yard. William entered the back yard.,Where does Avery think that William searches for the slacks?,bucket,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_0_moves_obj,agent_0_exits,agent_2_enters,agent_1_reenters_loc",second_order_false_belief,second_order_1_tom,True,second_order,True,bucket,crate,False,memory
William likes the grapes. William entered the back yard. Avery entered the back yard. The slacks is in the bucket. William exited the back yard. Avery moved the slacks to the crate. Jacob likes the hat. Jacob entered the cellar. Avery exited the back yard. William entered the back yard.,Where is the slacks really?,crate,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_0_moves_obj,agent_0_exits,agent_2_enters,agent_1_reenters_loc",second_order_false_belief,reality,False,reality,True,bucket,crate,False,reality
William likes the grapes. William entered the back yard. Avery entered the back yard. The slacks is in the bucket. William exited the back yard. Avery moved the slacks to the crate. Jacob likes the hat. Jacob entered the cellar. Avery exited the back yard. William entered the back yard.,Where will William look for the slacks?,crate,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_0_moves_obj,agent_0_exits,agent_2_enters,agent_1_reenters_loc",second_order_false_belief,first_order_0_no_tom,False,first_order,True,bucket,crate,True,reality
William likes the grapes. William entered the back yard. Avery entered the back yard. The slacks is in the bucket. William exited the back yard. Avery moved the slacks to the crate. Jacob likes the hat. Jacob entered the cellar. Avery exited the back yard. William entered the back yard.,Where does William think that Avery searches for the slacks?,bucket,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_0_moves_obj,agent_0_exits,agent_2_enters,agent_1_reenters_loc",second_order_false_belief,second_order_0_tom,True,second_order,True,bucket,crate,False,memory
Evelyn entered the bathroom. William entered the bathroom. The socks is in the crate. Evelyn dislikes the socks. Evelyn exited the bathroom. William moved the socks to the treasure chest.,Where was the socks at the beginning?,crate,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_0_moves_obj",false_belief,memory,False,memory,True,crate,treasure chest,False,memory
Evelyn entered the bathroom. William entered the bathroom. The socks is in the crate. Evelyn dislikes the socks. Evelyn exited the bathroom. William moved the socks to the treasure chest.,Where will William look for the socks?,treasure chest,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_0_moves_obj",false_belief,first_order_1_no_tom,False,first_order,True,crate,treasure chest,True,reality
Evelyn entered the bathroom. William entered the bathroom. The socks is in the crate. Evelyn dislikes the socks. Evelyn exited the bathroom. William moved the socks to the treasure chest.,Where does William think that Evelyn searches for the socks?,crate,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_0_moves_obj",false_belief,second_order_1_tom,True,second_order,True,crate,treasure chest,False,memory
Evelyn entered the bathroom. William entered the bathroom. The socks is in the crate. Evelyn dislikes the socks. Evelyn exited the bathroom. William moved the socks to the treasure chest.,Where is the socks really?,treasure chest,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_0_moves_obj",false_belief,reality,False,reality,True,crate,treasure chest,False,reality
Evelyn entered the bathroom. William entered the bathroom. The socks is in the crate. Evelyn dislikes the socks. Evelyn exited the bathroom. William moved the socks to the treasure chest.,Where will Evelyn look for the socks?,crate,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_0_moves_obj",false_belief,first_order_0_tom,True,first_order,True,crate,treasure chest,False,memory
Evelyn entered the bathroom. William entered the bathroom. The socks is in the crate. Evelyn dislikes the socks. Evelyn exited the bathroom. William moved the socks to the treasure chest.,Where does Evelyn think that William searches for the socks?,crate,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_0_moves_obj",false_belief,second_order_0_tom,True,second_order,True,crate,treasure chest,False,memory
James entered the dining room. Mila entered the dining room. The skirt is in the bottle. Mila exited the dining room. James moved the skirt to the bathtub.,Where was the skirt at the beginning?,bottle,1,"enter_agent_0,enter_agent_1,agent_1_exits,agent_0_moves_obj",false_belief,memory,False,memory,True,bottle,bathtub,False,memory
James entered the dining room. Mila entered the dining room. The skirt is in the bottle. Mila exited the dining room. James moved the skirt to the bathtub.,Where will James look for the skirt?,bathtub,1,"enter_agent_0,enter_agent_1,agent_1_exits,agent_0_moves_obj",false_belief,first_order_0_no_tom,False,first_order,True,bottle,bathtub,True,reality
James entered the dining room. Mila entered the dining room. The skirt is in the bottle. Mila exited the dining room. James moved the skirt to the bathtub.,Where does James think that Mila searches for the skirt?,bottle,1,"enter_agent_0,enter_agent_1,agent_1_exits,agent_0_moves_obj",false_belief,second_order_0_tom,True,second_order,True,bottle,bathtub,False,memory
James entered the dining room. Mila entered the dining room. The skirt is in the bottle. Mila exited the dining room. James moved the skirt to the bathtub.,Where is the skirt really?,bathtub,1,"enter_agent_0,enter_agent_1,agent_1_exits,agent_0_moves_obj",false_belief,reality,False,reality,True,bottle,bathtub,False,reality
James entered the dining room. Mila entered the dining room. The skirt is in the bottle. Mila exited the dining room. James moved the skirt to the bathtub.,Where will Mila look for the skirt?,bottle,1,"enter_agent_0,enter_agent_1,agent_1_exits,agent_0_moves_obj",false_belief,first_order_1_tom,True,first_order,True,bottle,bathtub,False,memory
James entered the dining room. Mila entered the dining room. The skirt is in the bottle. Mila exited the dining room. James moved the skirt to the bathtub.,Where does Mila think that James searches for the skirt?,bottle,1,"enter_agent_0,enter_agent_1,agent_1_exits,agent_0_moves_obj",false_belief,second_order_1_tom,True,second_order,True,bottle,bathtub,False,memory
Mason entered the crawlspace. Mila entered the den. Mason exited the crawlspace. Carter entered the den. The trousers is in the cupboard. Carter moved the trousers to the box. Mila exited the den.,Where was the trousers at the beginning?,cupboard,1,"agent_2_enters,enter_agent_1,agent_2_exits,enter_agent_0,agent_0_moves_obj,agent_1_exits",true_belief,memory,False,memory,False,cupboard,box,False,memory
Mason entered the crawlspace. Mila entered the den. Mason exited the crawlspace. Carter entered the den. The trousers is in the cupboard. Carter moved the trousers to the box. Mila exited the den.,Where will Carter look for the trousers?,box,1,"agent_2_enters,enter_agent_1,agent_2_exits,enter_agent_0,agent_0_moves_obj,agent_1_exits",true_belief,first_order_1_no_tom,False,first_order,False,cupboard,box,False,reality
Mason entered the crawlspace. Mila entered the den. Mason exited the crawlspace. Carter entered the den. The trousers is in the cupboard. Carter moved the trousers to the box. Mila exited the den.,Where does Carter think that Mila searches for the trousers?,box,1,"agent_2_enters,enter_agent_1,agent_2_exits,enter_agent_0,agent_0_moves_obj,agent_1_exits",true_belief,second_order_1_no_tom,False,second_order,False,cupboard,box,False,reality
Mason entered the crawlspace. Mila entered the den. Mason exited the crawlspace. Carter entered the den. The trousers is in the cupboard. Carter moved the trousers to the box. Mila exited the den.,Where is the trousers really?,box,1,"agent_2_enters,enter_agent_1,agent_2_exits,enter_agent_0,agent_0_moves_obj,agent_1_exits",true_belief,reality,False,reality,False,cupboard,box,False,reality
Mason entered the crawlspace. Mila entered the den. Mason exited the crawlspace. Carter entered the den. The trousers is in the cupboard. Carter moved the trousers to the box. Mila exited the den.,Where will Mila look for the trousers?,box,1,"agent_2_enters,enter_agent_1,agent_2_exits,enter_agent_0,agent_0_moves_obj,agent_1_exits",true_belief,first_order_0_no_tom,False,first_order,False,cupboard,box,False,reality
Mason entered the crawlspace. Mila entered the den. Mason exited the crawlspace. Carter entered the den. The trousers is in the cupboard. Carter moved the trousers to the box. Mila exited the den.,Where does Mila think that Carter searches for the trousers?,box,1,"agent_2_enters,enter_agent_1,agent_2_exits,enter_agent_0,agent_0_moves_obj,agent_1_exits",true_belief,second_order_0_no_tom,False,second_order,False,cupboard,box,False,reality
Elizabeth entered the playroom. Olivia entered the playroom. The dress is in the bathtub. Elizabeth exited the playroom. Elizabeth entered the playroom. Olivia moved the dress to the cupboard.,Where was the dress at the beginning?,bathtub,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_1_reenters_loc,agent_0_moves_obj",true_belief,memory,False,memory,False,bathtub,cupboard,False,memory
Elizabeth entered the playroom. Olivia entered the playroom. The dress is in the bathtub. Elizabeth exited the playroom. Elizabeth entered the playroom. Olivia moved the dress to the cupboard.,Where will Olivia look for the dress?,cupboard,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_1_reenters_loc,agent_0_moves_obj",true_belief,first_order_1_no_tom,False,first_order,False,bathtub,cupboard,False,reality
Elizabeth entered the playroom. Olivia entered the playroom. The dress is in the bathtub. Elizabeth exited the playroom. Elizabeth entered the playroom. Olivia moved the dress to the cupboard.,Where does Olivia think that Elizabeth searches for the dress?,cupboard,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_1_reenters_loc,agent_0_moves_obj",true_belief,second_order_1_no_tom,False,second_order,False,bathtub,cupboard,False,reality
Elizabeth entered the playroom. Olivia entered the playroom. The dress is in the bathtub. Elizabeth exited the playroom. Elizabeth entered the playroom. Olivia moved the dress to the cupboard.,Where is the dress really?,cupboard,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_1_reenters_loc,agent_0_moves_obj",true_belief,reality,False,reality,False,bathtub,cupboard,False,reality
Elizabeth entered the playroom. Olivia entered the playroom. The dress is in the bathtub. Elizabeth exited the playroom. Elizabeth entered the playroom. Olivia moved the dress to the cupboard.,Where will Elizabeth look for the dress?,cupboard,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_1_reenters_loc,agent_0_moves_obj",true_belief,first_order_0_no_tom,False,first_order,False,bathtub,cupboard,False,reality
Elizabeth entered the playroom. Olivia entered the playroom. The dress is in the bathtub. Elizabeth exited the playroom. Elizabeth entered the playroom. Olivia moved the dress to the cupboard.,Where does Elizabeth think that Olivia searches for the dress?,cupboard,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_1_reenters_loc,agent_0_moves_obj",true_belief,second_order_0_no_tom,False,second_order,False,bathtub,cupboard,False,reality
Charlotte entered the master bedroom. Olivia entered the master bedroom. The jacket is in the bucket. Jacob entered the master bedroom. Charlotte exited the master bedroom. Olivia moved the jacket to the drawer.,Where was the jacket at the beginning?,bucket,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_2_enters,agent_0_moves_obj",false_belief,memory,False,memory,True,bucket,drawer,False,memory
Charlotte entered the master bedroom. Olivia entered the master bedroom. The jacket is in the bucket. Jacob entered the master bedroom. Charlotte exited the master bedroom. Olivia moved the jacket to the drawer.,Where will Olivia look for the jacket?,drawer,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_2_enters,agent_0_moves_obj",false_belief,first_order_1_no_tom,False,first_order,True,bucket,drawer,True,reality
Charlotte entered the master bedroom. Olivia entered the master bedroom. The jacket is in the bucket. Jacob entered the master bedroom. Charlotte exited the master bedroom. Olivia moved the jacket to the drawer.,Where does Olivia think that Charlotte searches for the jacket?,drawer,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_2_enters,agent_0_moves_obj",false_belief,second_order_1_no_tom,False,second_order,True,bucket,drawer,True,reality
Charlotte entered the master bedroom. Olivia entered the master bedroom. The jacket is in the bucket. Jacob entered the master bedroom. Charlotte exited the master bedroom. Olivia moved the jacket to the drawer.,Where is the jacket really?,drawer,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_2_enters,agent_0_moves_obj",false_belief,reality,False,reality,True,bucket,drawer,False,reality
Charlotte entered the master bedroom. Olivia entered the master bedroom. The jacket is in the bucket. Jacob entered the master bedroom. Charlotte exited the master bedroom. Olivia moved the jacket to the drawer.,Where will Charlotte look for the jacket?,bucket,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_2_enters,agent_0_moves_obj",false_belief,first_order_0_tom,True,first_order,True,bucket,drawer,False,memory
Charlotte entered the master bedroom. Olivia entered the master bedroom. The jacket is in the bucket. Jacob entered the master bedroom. Charlotte exited the master bedroom. Olivia moved the jacket to the drawer.,Where does Charlotte think that Olivia searches for the jacket?,drawer,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_2_enters,agent_0_moves_obj",false_belief,second_order_0_no_tom,False,second_order,True,bucket,drawer,True,reality
Avery entered the sunroom. Isla entered the kitchen. Avery exited the sunroom. Isla likes the strawberry. Lily entered the kitchen. The dress is in the treasure chest. Lily exited the kitchen. Isla moved the dress to the suitcase. Lily hates the turnip. Lily entered the kitchen.,Where was the dress at the beginning?,treasure chest,1,"agent_2_enters,enter_agent_0,agent_2_exits,enter_agent_1,agent_1_exits,agent_0_moves_obj,agent_1_reenters_loc",false_belief,memory,False,memory,False,treasure chest,suitcase,False,memory
Avery entered the sunroom. Isla entered the kitchen. Avery exited the sunroom. Isla likes the strawberry. Lily entered the kitchen. The dress is in the treasure chest. Lily exited the kitchen. Isla moved the dress to the suitcase. Lily hates the turnip. Lily entered the kitchen.,Where will Isla look for the dress?,suitcase,1,"agent_2_enters,enter_agent_0,agent_2_exits,enter_agent_1,agent_1_exits,agent_0_moves_obj,agent_1_reenters_loc",false_belief,first_order_0_no_tom,False,first_order,False,treasure chest,suitcase,False,reality
Avery entered the sunroom. Isla entered the kitchen. Avery exited the sunroom. Isla likes the strawberry. Lily entered the kitchen. The dress is in the treasure chest. Lily exited the kitchen. Isla moved the dress to the suitcase. Lily hates the turnip. Lily entered the kitchen.,Where does Isla think that Lily searches for the dress?,suitcase,1,"agent_2_enters,enter_agent_0,agent_2_exits,enter_agent_1,agent_1_exits,agent_0_moves_obj,agent_1_reenters_loc",false_belief,second_order_0_no_tom,False,second_order,False,treasure chest,suitcase,False,reality
Avery entered the sunroom. Isla entered the kitchen. Avery exited the sunroom. Isla likes the strawberry. Lily entered the kitchen. The dress is in the treasure chest. Lily exited the kitchen. Isla moved the dress to the suitcase. Lily hates the turnip. Lily entered the kitchen.,Where is the dress really?,suitcase,1,"agent_2_enters,enter_agent_0,agent_2_exits,enter_agent_1,agent_1_exits,agent_0_moves_obj,agent_1_reenters_loc",false_belief,reality,False,reality,False,treasure chest,suitcase,False,reality
Avery entered the sunroom. Isla entered the kitchen. Avery exited the sunroom. Isla likes the strawberry. Lily entered the kitchen. The dress is in the treasure chest. Lily exited the kitchen. Isla moved the dress to the suitcase. Lily hates the turnip. Lily entered the kitchen.,Where will Lily look for the dress?,suitcase,1,"agent_2_enters,enter_agent_0,agent_2_exits,enter_agent_1,agent_1_exits,agent_0_moves_obj,agent_1_reenters_loc",false_belief,first_order_1_no_tom,False,first_order,False,treasure chest,suitcase,False,reality
Avery entered the sunroom. Isla entered the kitchen. Avery exited the sunroom. Isla likes the strawberry. Lily entered the kitchen. The dress is in the treasure chest. Lily exited the kitchen. Isla moved the dress to the suitcase. Lily hates the turnip. Lily entered the kitchen.,Where does Lily think that Isla searches for the dress?,suitcase,1,"agent_2_enters,enter_agent_0,agent_2_exits,enter_agent_1,agent_1_exits,agent_0_moves_obj,agent_1_reenters_loc",false_belief,second_order_1_no_tom,False,second_order,False,treasure chest,suitcase,False,reality
Isabella likes the t-shirt. Abigail entered the dining room. Elizabeth entered the dining room. The slippers is in the bathtub. Abigail moved the slippers to the cupboard. Elizabeth exited the dining room. Elizabeth entered the hall.,Where was the slippers at the beginning?,bathtub,1,"enter_agent_0,enter_agent_1,agent_0_moves_obj,agent_1_exits,agent_1_reenters_alt_loc",true_belief,memory,False,memory,False,bathtub,cupboard,False,memory
Isabella likes the t-shirt. Abigail entered the dining room. Elizabeth entered the dining room. The slippers is in the bathtub. Abigail moved the slippers to the cupboard. Elizabeth exited the dining room. Elizabeth entered the hall.,Where will Abigail look for the slippers?,cupboard,1,"enter_agent_0,enter_agent_1,agent_0_moves_obj,agent_1_exits,agent_1_reenters_alt_loc",true_belief,first_order_0_no_tom,False,first_order,False,bathtub,cupboard,False,reality
Isabella likes the t-shirt. Abigail entered the dining room. Elizabeth entered the dining room. The slippers is in the bathtub. Abigail moved the slippers to the cupboard. Elizabeth exited the dining room. Elizabeth entered the hall.,Where does Abigail think that Elizabeth searches for the slippers?,cupboard,1,"enter_agent_0,enter_agent_1,agent_0_moves_obj,agent_1_exits,agent_1_reenters_alt_loc",true_belief,second_order_0_no_tom,False,second_order,False,bathtub,cupboard,False,reality
Isabella likes the t-shirt. Abigail entered the dining room. Elizabeth entered the dining room. The slippers is in the bathtub. Abigail moved the slippers to the cupboard. Elizabeth exited the dining room. Elizabeth entered the hall.,Where is the slippers really?,cupboard,1,"enter_agent_0,enter_agent_1,agent_0_moves_obj,agent_1_exits,agent_1_reenters_alt_loc",true_belief,reality,False,reality,False,bathtub,cupboard,False,reality
Isabella likes the t-shirt. Abigail entered the dining room. Elizabeth entered the dining room. The slippers is in the bathtub. Abigail moved the slippers to the cupboard. Elizabeth exited the dining room. Elizabeth entered the hall.,Where will Elizabeth look for the slippers?,cupboard,1,"enter_agent_0,enter_agent_1,agent_0_moves_obj,agent_1_exits,agent_1_reenters_alt_loc",true_belief,first_order_1_no_tom,False,first_order,False,bathtub,cupboard,False,reality
Isabella likes the t-shirt. Abigail entered the dining room. Elizabeth entered the dining room. The slippers is in the bathtub. Abigail moved the slippers to the cupboard. Elizabeth exited the dining room. Elizabeth entered the hall.,Where does Elizabeth think that Abigail searches for the slippers?,cupboard,1,"enter_agent_0,enter_agent_1,agent_0_moves_obj,agent_1_exits,agent_1_reenters_alt_loc",true_belief,second_order_1_no_tom,False,second_order,False,bathtub,cupboard,False,reality
Jack entered the crawlspace. Mason entered the crawlspace. The beans is in the bathtub. Mason moved the beans to the box. Jack loves the asparagus. Jack exited the crawlspace. Mason likes the cherry. Jack entered the dining room.,Where was the beans at the beginning?,bathtub,1,"enter_agent_1,enter_agent_0,agent_0_moves_obj,agent_1_exits,agent_1_reenters_alt_loc",true_belief,memory,False,memory,False,bathtub,box,False,memory
Jack entered the crawlspace. Mason entered the crawlspace. The beans is in the bathtub. Mason moved the beans to the box. Jack loves the asparagus. Jack exited the crawlspace. Mason likes the cherry. Jack entered the dining room.,Where will Mason look for the beans?,box,1,"enter_agent_1,enter_agent_0,agent_0_moves_obj,agent_1_exits,agent_1_reenters_alt_loc",true_belief,first_order_1_no_tom,False,first_order,False,bathtub,box,False,reality
Jack entered the crawlspace. Mason entered the crawlspace. The beans is in the bathtub. Mason moved the beans to the box. Jack loves the asparagus. Jack exited the crawlspace. Mason likes the cherry. Jack entered the dining room.,Where does Mason think that Jack searches for the beans?,box,1,"enter_agent_1,enter_agent_0,agent_0_moves_obj,agent_1_exits,agent_1_reenters_alt_loc",true_belief,second_order_1_no_tom,False,second_order,False,bathtub,box,False,reality
Jack entered the crawlspace. Mason entered the crawlspace. The beans is in the bathtub. Mason moved the beans to the box. Jack loves the asparagus. Jack exited the crawlspace. Mason likes the cherry. Jack entered the dining room.,Where is the beans really?,box,1,"enter_agent_1,enter_agent_0,agent_0_moves_obj,agent_1_exits,agent_1_reenters_alt_loc",true_belief,reality,False,reality,False,bathtub,box,False,reality
Jack entered the crawlspace. Mason entered the crawlspace. The beans is in the bathtub. Mason moved the beans to the box. Jack loves the asparagus. Jack exited the crawlspace. Mason likes the cherry. Jack entered the dining room.,Where will Jack look for the beans?,box,1,"enter_agent_1,enter_agent_0,agent_0_moves_obj,agent_1_exits,agent_1_reenters_alt_loc",true_belief,first_order_0_no_tom,False,first_order,False,bathtub,box,False,reality
Jack entered the crawlspace. Mason entered the crawlspace. The beans is in the bathtub. Mason moved the beans to the box. Jack loves the asparagus. Jack exited the crawlspace. Mason likes the cherry. Jack entered the dining room.,Where does Jack think that Mason searches for the beans?,box,1,"enter_agent_1,enter_agent_0,agent_0_moves_obj,agent_1_exits,agent_1_reenters_alt_loc",true_belief,second_order_0_no_tom,False,second_order,False,bathtub,box,False,reality
Lily entered the dining room. William entered the dining room. The underpants is in the box. William exited the dining room. William entered the dining room. Abigail entered the cellar. William dislikes the eggplant. Abigail exited the cellar. Lily moved the underpants to the suitcase.,Where was the underpants at the beginning?,box,1,"enter_agent_0,enter_agent_1,agent_1_exits,agent_1_reenters_loc,agent_0_moves_obj,agent_2_enters,agent_2_exits",true_belief,memory,False,memory,False,box,suitcase,False,memory
Lily entered the dining room. William entered the dining room. The underpants is in the box. William exited the dining room. William entered the dining room. Abigail entered the cellar. William dislikes the eggplant. Abigail exited the cellar. Lily moved the underpants to the suitcase.,Where will Lily look for the underpants?,suitcase,1,"enter_agent_0,enter_agent_1,agent_1_exits,agent_1_reenters_loc,agent_0_moves_obj,agent_2_enters,agent_2_exits",true_belief,first_order_0_no_tom,False,first_order,False,box,suitcase,False,reality
Lily entered the dining room. William entered the dining room. The underpants is in the box. William exited the dining room. William entered the dining room. Abigail entered the cellar. William dislikes the eggplant. Abigail exited the cellar. Lily moved the underpants to the suitcase.,Where does Lily think that William searches for the underpants?,suitcase,1,"enter_agent_0,enter_agent_1,agent_1_exits,agent_1_reenters_loc,agent_0_moves_obj,agent_2_enters,agent_2_exits",true_belief,second_order_0_no_tom,False,second_order,False,box,suitcase,False,reality
Lily entered the dining room. William entered the dining room. The underpants is in the box. William exited the dining room. William entered the dining room. Abigail entered the cellar. William dislikes the eggplant. Abigail exited the cellar. Lily moved the underpants to the suitcase.,Where is the underpants really?,suitcase,1,"enter_agent_0,enter_agent_1,agent_1_exits,agent_1_reenters_loc,agent_0_moves_obj,agent_2_enters,agent_2_exits",true_belief,reality,False,reality,False,box,suitcase,False,reality
